Lesson,Line,CEFR,English,Norwegian,Hebrew,Croatian,Japanese
1,1,A1,It's morning.,Det er morgen.,זה בוקר.,Jutro je.,朝です。
1,2,A1,The room is dark.,Rommet er mørkt.,החדר חשוך.,Soba je mračna.,部屋は暗いです。
1,3,A1,The alarm clock rings.,Vekkerklokken ringer.,השעון המעורר מצלצל.,Budilica zvoni.,目覚まし時計が鳴ります。
1,4,A1,I open my eyes.,Jeg åpner øynene mine.,אני פותח את העיניים.,Otvaram oči.,目を開けます。
1,5,A1,The light is off.,Lyset er av.,האור כבוי.,Svjetlo je ugašeno.,電気は消えています。
1,6,A1,I get up.,Jeg står opp.,אני קם.,Ustajem.,起きます。
1,7,A1,The room is still dark.,Rommet er fortsatt mørkt.,החדר עדיין חשוך.,Soba je još mračna.,部屋はまだ暗いです。
1,8,A1,I turn on the light.,Jeg slår på lyset.,אני מדליק את האור.,Palim svjetlo.,電気をつけます。
1,9,A1,The room is bright.,Rommet er lyst.,החדר מואר.,Soba je svijetla.,部屋は明るいです。
1,10,A1,The day starts.,Dagen starter.,היום מתחיל.,Dan počinje.,一日が始まります。
2,1,A1,I go to the bathroom.,Jeg går på badet.,אני הולך לחדר האמבטיה.,Idem u kupaonicu.,トイレに行きます。
2,2,A1,The room is bright.,Rommet er lyst.,החדר מואר.,Soba je svijetla.,部屋は明るいです。
2,3,A1,There's a sink.,Det er en vask.,יש כיור.,Ima umivaonik.,洗面台があります。
2,4,A1,I turn on the water.,Jeg skrur på vannet.,אני פותח את המים.,Puštam vodu.,水を出します。
2,5,A1,The water is cold.,Vannet er kaldt.,המים קרים.,Voda je hladna.,水は冷たいです。
2,6,A1,I wait.,Jeg venter.,אני מחכה.,Čekam.,待ちます。
2,7,A1,The water is still cold.,Vannet er fortsatt kaldt.,המים עדיין קרים.,Voda je još uvijek hladna.,水はまだ冷たいです。
2,8,A1,I turn on the hot water.,Jeg skrur på varmtvannet.,אני פותח את המים החמים.,Puštam toplu vodu.,お湯を出します。
2,9,A1,The water is warm.,Vannet er varmt.,המים חמימים.,Voda je topla.,水は温かいです。
2,10,A1,I brush my teeth.,Jeg pusser tennene.,אני מצחצח שיניים.,Perem zube.,歯を磨きます。